transaction_id,client_id,conversion_timestamp,revenue,first_click_source,first_click_medium,first_click_campaign,first_click_channel,last_click_source,last_click_medium,last_click_campaign,last_click_channel,touchpoint_count,days_to_convert,conversion_date
ORD-20250225-279,1740342213-wO7WjZIoZlw2,2025-02-25 03:09:02.092000+00:00,245.0,direct,none,,Direct,direct,none,,Direct,2,1,2025-02-25
ORD-20250223-188,1740353042-u00VNVwShqi7,2025-02-23 23:56:31.157000+00:00,262.0,AF630F,7B4C8A,,Other,AF630F,7B4C8A,,Other,1,0,2025-02-23
ORD-20250224-379,1740354406-05uJBqjzNLCr,2025-02-24 00:01:10.768000+00:00,349.0,google,cpc,BD3937,Paid Search,google,cpc,BD3937,Paid Search,1,0,2025-02-24
ORD-20250223-633,1740354432-siarlMkZUacD,2025-02-23 23:56:32.123000+00:00,949.0,direct,none,,Direct,direct,none,,Direct,0,0,2025-02-23
ORD-20250305-874,1740356123-1bfvg97pRZDo,2025-03-05 19:31:02.999000+00:00,649.0,direct,none,,Direct,direct,none,,Direct,1,0,2025-03-05
ORD-20250224-182,1740357638-9tfvOEhPzURB,2025-02-24 00:43:36.267000+00:00,127.0,direct,none,,Direct,direct,none,,Direct,1,0,2025-02-24
ORD-20250224-411,1740361226-rivvi4JqPuzY,2025-02-24 01:46:04.380000+00:00,499.0,direct,none,,Direct,direct,none,,Direct,1,0,2025-02-24
ORD-20250224-959,1740367034-S45_sOx0uTdt,2025-02-24 03:37:53.404000+00:00,1599.0,direct,none,,Direct,direct,none,,Direct,0,0,2025-02-24
ORD-20250301-141,1740369480-TyDhYip-VIAZ,2025-03-01 15:48:06.431000+00:00,128.0,direct,none,,Direct,direct,none,,Direct,1,0,2025-03-01
ORD-20250224-242,1740375050-XlC0gkccY9RX,2025-02-24 19:58:31.659000+00:00,399.0,direct,none,,Direct,direct,none,,Direct,1,0,2025-02-24
ORD-20250224-110,1740375905-ogainOy22IfS,2025-02-24 06:03:18.403000+00:00,1899.0,google,cpc,EF8CFA,Paid Search,google,cpc,EF8CFA,Paid Search,1,0,2025-02-24
ORD-20250224-395,1740388834-Se_QNh_trw4d,2025-02-24 09:38:03.268000+00:00,1399.0,direct,none,,Direct,direct,none,,Direct,0,0,2025-02-24
ORD-20250224-361,1740394685-BMUHlEYXGIsS,2025-02-24 22:13:27.886000+00:00,2149.0,direct,none,,Direct,direct,none,,Direct,2,0,2025-02-24
